zillow_addresses_stPete,current_price_stPete
"3089 15th Ave S, Saint Petersburg, FL 33712",149900
"630 4th Ave S #4, Saint Petersburg, FL 33701",1232500
"7630 Paradise Pointe Cir S, St Petersburg, FL 33711",1400000
"30th St N, Saint Petersburg, FL 33713",405000
"16th St S, Saint Petersburg, FL 33705",187000
"630 4th Ave S #3, Saint Petersburg, FL 33701",1217500
"400 Central Ave #3002, Saint Petersburg, FL 33701",1650000
"355 Brightwaters Blvd NE, Saint Petersburg, FL 33704",3150000
"400 Central Ave #3403, Saint Petersburg, FL 33701",1820000
"424 8th St S #302, Saint Petersburg, FL 33701",728000
"519 3rd Ave S, St Petersburg, FL 33701",18000000
"3190 69th Ave N, Saint Petersburg, FL 33702",449999
"630 4th Ave S #2, Saint Petersburg, FL 33701",1312500
"123/125 Bay Point Dr NE, Saint Petersburg, FL 33704",14840000
"3091 15th Ave S, Saint Petersburg, FL 33712",144900
"400 Central Ave #2205, Saint Petersburg, FL 33701",1710000
"3 BR 3 BA ; Residences 2003-3903 Plan, Residences 400 Central",1820000
"5201 66th St N, St Petersburg, FL 33709",1750000
"118 66th St N, Saint Petersburg, FL 33710",2400000
"22nd Ave S, Saint Petersburg, FL 33705",750000
"34th St S, Saint Petersburg, FL 33711",850000
"3430 19th Ave S, Saint Petersburg, FL 33711",925000
"2701 20th St S, Saint Petersburg, FL 33712",1799900
